Idea Id,Cost Reduction Idea,Saving Value (INR),Weight Saving (Kg),Status,Dept,Way Forward,Idea ID,Proposal,Imp,Saving Value,Responsibility,Date
2311-DA-ID-15,Replace PC-ABS with ABS in the manufacture of Speaker Trims present on the door assemblies.,INR 51.00,0.03,NG,PE,N/A,2311-DA-ID-15,Replace PC-ABS with ABS in the manufacture of Speaker Trims present on the door assemblies.,N/A,INR 51.00,N/A,N/A
2311-DA-ID-20,De-content Cable Protective Sheaths one each from all the Lock Release and Front Window Regulator assemblies of the vehicle,INR 129.00,0.00,NG,PE,N/A,2311-DA-ID-20,De-content Cable Protective Sheaths one each from all the Lock Release and Front Window Regulator assemblies of the vehicle,N/A,INR 129.00,N/A,N/A
2311-EL-ID-01,Replace the 16-pin connector set used on the IRVM assembly with an 8-pin connector set.,INR 142.00,0.01,NG,PE,N/A,2311-EL-ID-01,Replace the 16-pin connector set used on the IRVM assembly with an 8-pin connector set.,N/A,INR 142.00,N/A,N/A
2311-EL-ID-10,Replace the 444GSM Battery Insulation Cover used in MGI with a 350GSM Insulation Cover,INR 61.00,0.02,TBD,PE,N/A,2311-EL-ID-10,Replace the 444GSM Battery Insulation Cover used in MGI with a 350GSM Insulation Cover,N/A,INR 61.00,N/A,N/A
2311-EL-ID-15,Replace the 'Roots Windtone 75' horns used in MGI with 'A78SE's used in KIA,INR 58.00,0.00,TBD,PE,N/A,2311-EL-ID-15,Replace the 'Roots Windtone 75' horns used in MGI with 'A78SE's used in KIA,N/A,INR 58.00,N/A,N/A
2311-EL-ID-16,Replace the Keyless Entry Sensor Module from Continental used in MGI with the one used in KIA,INR 126.00,0.01,TBD,PE,N/A,2311-EL-ID-16,Replace the Keyless Entry Sensor Module from Continental used in MGI with the one used in KIA,N/A,INR 126.00,N/A,N/A
2311-EL-ID-17,Replace the oxygen sensors used in MGI with the oxygen sensors used in KIA,INR 139.00,0.02,Hold,PE,N/A,2311-EL-ID-17,Replace the oxygen sensors used in MGI with the oxygen sensors used in KIA,N/A,INR 139.00,N/A,N/A
2311-ET-ID-12,Replace PC-ABS with ABS in the manufacture of the LH and RH Roof Rail End Covers 1 and 2,INR 102.00,0.01,TBD,PE,N/A,2311-ET-ID-12,Replace PC-ABS with ABS in the manufacture of the LH and RH Roof Rail End Covers 1 and 2,N/A,INR 102.00,N/A,N/A
2311-ET-ID-15,De-content the Cowl Panel NVH Insulation from the engine bay of MGI,INR 126.00,0.79,OK,PE,N/A,2311-ET-ID-15,De-content the Cowl Panel NVH Insulation from the engine bay of MGI,N/A,INR 126.00,N/A,N/A
2311-FS-ID-02,Replace the Steel access cover used within MGI with a Plastic (PP(assumed)) one as used in KIA,INR 144.00,0.04,TBD,PE,N/A,2311-FS-ID-02,Replace the Steel access cover used within MGI with a Plastic (PP(assumed)) one as used in KIA,N/A,INR 144.00,N/A,N/A
AI-GEN-01,Extend fastener optimization approach #1 for PE,INR 88.56,0.00,N/A,PE,N/A,AI-GEN-01,Extend fastener optimization approach #1 for PE,N/A,INR 88.56,N/A,N/A
AI-GEN-02,Extend fastener optimization approach #2 for PE,INR 93.48,0.00,N/A,PE,N/A,AI-GEN-02,Extend fastener optimization approach #2 for PE,N/A,INR 93.48,N/A,N/A
AI-GEN-03,Extend fastener optimization approach #3 for PE,INR 98.40,0.00,N/A,PE,N/A,AI-GEN-03,Extend fastener optimization approach #3 for PE,N/A,INR 98.40,N/A,N/A
